"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-02032017-086586";"";
"REFERENCE";"30202";"";
"TraceParts.PartVersion";"1.3.6";"";
"TraceParts.InstanceId";"10-02032017-0865866LTZS415CGNQIOBAUUUOM4MJI";"";
"TraceParts.PartTitle";"Tapered roller bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Tapered roller bearings, single row, Bore Ø 15 mm, Outside Ø 35 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0546";"";
